вірити,1:ment:noncaus:2:modal:noncaus,
пам'ятати,1:ment:noncaus:2:modal:noncaus,
повірити,1:ment:noncaus:2:modal:noncaus,
сподіватися,1:ment:noncaus:2:modal:noncaus,
передбачати,1:ment:noncaus:2:noncaus,
передбачити,1:ment:noncaus:2:noncaus,
уважати,1:ment:noncaus:2:percept:noncaus,
вважати,1:ment:noncaus:2:percept:noncaus:3:modal:noncaus,
здатися,1:ment:noncaus:2:physqual:vis:noncaus:3:noncaus,
здаватися,1:ment:noncaus:2:physqual:vis:noncaus:3:noncaus:4:modal:noncaus,
забувати,1:ment:noncaus:2:poss:caus:3:loc:noncaus,
забути,1:ment:noncaus:2:poss:caus:3:loc:noncaus,
згадати,1:ment:noncaus:2:speech:noncaus,
згадувати,1:ment:noncaus:2:speech:noncaus,
погоджуватися,1:ment:noncaus:2:speech:noncaus,
погодитися,1:ment:noncaus:2:speech:noncaus,
мусити,1:modal:noncaus,
могти,1:modal:noncaus:2:able:noncaus,
мовляти,1:modal:noncaus:2:speech:caus,
залишати,1:move&loc:caus:2:poss:caus:3:appear:caus:4:end:noncaus,
залишити,1:move&loc:caus:2:poss:caus:3:appear:caus:4:end:noncaus,
виникати,1:move&loc:noncaus,:perf
приїжджати,1:move&loc:noncaus,
приїздити,1:move&loc:noncaus,
приїхати,1:move&loc:noncaus,
ввійти,1:move&loc:noncaus:2:appear&part:noncaus,
ввіходити,1:move&loc:noncaus:2:appear&part:noncaus,
входити,1:move&loc:noncaus:2:appear&part:noncaus,
увійти,1:move&loc:noncaus:2:appear&part:noncaus,
увіходити,1:move&loc:noncaus:2:appear&part:noncaus,
уходити,1:move&loc:noncaus:2:appear&part:noncaus,
вийти,1:move&loc:noncaus:2:appear:noncaus:3:chstate:noncaus:4:noncaus,
виходити,1:move&loc:noncaus:2:appear:noncaus:3:noncaus,:imperf
прийти,1:move&loc:noncaus:2:appear:noncaus:3:noncaus,
приходити,1:move&loc:noncaus:2:appear:noncaus:3:noncaus,
побувати,1:move&loc:noncaus:2:loc:noncaus,
потрапити,1:move&loc:noncaus:2:poss:noncaus:3:able:noncaus:4:noncaus,
сідати,1:move:body:noncaus:2:move&loc:noncaus:3:phase:4:noncaus,
сісти,1:move:body:noncaus:2:move&loc:noncaus:3:phase:4:noncaus,
йти,1:move:body:noncaus:2:move:noncaus:3:noncaus,
повернутися,1:move:body:noncaus:2:move:noncaus:3:phase:4:noncaus,
повертатися,1:move:body:noncaus:2:move:noncaus:3:phase:4:noncaus,
ставати,1:move:body:noncaus:2:phase:3:begin:noncaus:4:end:noncaus:5:loc:noncaus:6:appear:noncaus:7:noncaus,
подавати,1:move:caus:2:caus,
подати,1:move:caus:2:caus,
принести,1:move:caus:2:caus,
приносити,1:move:caus:2:caus,
провести,1:move:caus:2:move:body:caus:3:put:caus:4:act:noncaus:5:noncaus,
проводити,1:move:caus:2:move:body:caus:3:put:caus:4:act:noncaus:5:noncaus,
повернути,1:move:caus:2:move:noncaus:3:poss:caus:4:chstate:caus:5:caus,
повертати,1:move:caus:2:move:noncaus:3:poss:caus:4:chstate:caus:5:caus,
вести,1:move:caus:2:orient:caus:3:orient:noncaus:4:caus,
водити,1:move:caus:2:orient:caus:3:orient:noncaus:4:caus,
кидати,1:move:caus:2:speech:noncaus:3:poss:caus:4:end:caus:5:caus,
кинути,1:move:caus:2:speech:noncaus:3:poss:caus:4:end:caus:5:caus,
їхати,1:move:noncaus,
поїхати,1:move:noncaus,
проходити,1:move:noncaus,:perf
збиратися,1:move:noncaus:2:act:noncaus:3:psych:want:noncaus:4:noncaus,
зібратися,1:move:noncaus:2:act:noncaus:3:psych:want:noncaus:4:noncaus,
зупинитися,1:move:noncaus:2:end:noncaus,
зупинятися,1:move:noncaus:2:end:noncaus,
пройти,1:move:noncaus:2:exist:noncaus:3:end:noncaus:4:noncaus,
проходити,1:move:noncaus:2:exist:noncaus:3:end:noncaus:4:noncaus,:imperf
йтися,1:move:noncaus:2:noncaus,
іти,1:move:noncaus:2:noncaus,
підійти,1:move:noncaus:2:noncaus,
підходити,1:move:noncaus:2:noncaus,
ходити,1:move:noncaus:2:noncaus,
піти,1:move:noncaus:2:phase:3:noncaus,
маяти,1:move:noncaus:2:vis:noncaus,
виступати,1:move:noncaus:2:vis:noncaus:3:speech:noncaus:4:act:noncaus,
виступити,1:move:noncaus:2:vis:noncaus:3:speech:noncaus:4:act:noncaus,
довестися,1:noncaus,
доводитися,1:noncaus,
залежати,1:noncaus,:imperf
потребувати,1:noncaus,
стосуватися,1:noncaus,
надивитися,1:percept&limit:noncaus:2:ment&limit:noncaus,
надивлятися,1:percept&limit:noncaus:2:ment&limit:noncaus,
недодивитися,1:percept&ment:noncaus,
недодивлятися,1:percept&ment:noncaus,
піддивитися,1:percept&ment:noncaus,
піддивлятися,1:percept&ment:noncaus,
продивитися,1:percept&ment:noncaus:2:percept:noncaus:3:physqual:vis:noncaus,
продивлятися,1:percept&ment:noncaus:2:percept:noncaus:3:physqual:vis:noncaus,
читати,1:percept&ment:noncaus:2:speech:noncaus,
задивитися,1:percept&psych:emot:noncaus:2:percept&ment:noncaus,
задивлятися,1:percept&psych:emot:noncaus:2:percept&ment:noncaus,
показати,1:percept:caus:2:noncaus:3:speech:noncaus,
показувати,1:percept:caus:2:noncaus:3:speech:noncaus,
вдивитися,1:percept:noncaus,
вдивлятися,1:percept:noncaus,
видивитися,1:percept:noncaus,
видивлятися,1:percept:noncaus,
передивитися,1:percept:noncaus,
передивлятися,1:percept:noncaus,
подивлятися,1:percept:noncaus,
попередивлятися,1:percept:noncaus,
почути,1:percept:noncaus,
удивитися,1:percept:noncaus,
удивлятися,1:percept:noncaus,
чути,1:percept:noncaus,
шукати,1:percept:noncaus:2:act:noncaus:3:ment:noncaus,
бачити,1:percept:noncaus:2:ment:noncaus,
дивитися,1:percept:noncaus:2:ment:noncaus,
обдивитися,1:percept:noncaus:2:ment:noncaus,
обдивлятися,1:percept:noncaus:2:ment:noncaus,
побачити,1:percept:noncaus:2:ment:noncaus,
подивитися,1:percept:noncaus:2:ment:noncaus,
пороздивлятися,1:percept:noncaus:2:ment:noncaus,
розглядати,1:percept:noncaus:2:ment:noncaus,
розглянути,1:percept:noncaus:2:ment:noncaus,
роздивитися,1:percept:noncaus:2:ment:noncaus,
роздивлятися,1:percept:noncaus:2:ment:noncaus,
помітити,1:percept:noncaus:2:ment:noncaus:3:impact:caus,
помічати,1:percept:noncaus:2:ment:noncaus:3:impact:caus,
додивитися,1:percept:noncaus:2:percept&end:noncaus,
додивлятися,1:percept:noncaus:2:percept&end:noncaus,
придивитися,1:percept:noncaus:2:percept&ment:noncaus,
придивлятися,1:percept:noncaus:2:percept&ment:noncaus,
виглядати,1:percept:noncaus:2:physqual:vis:noncaus,
виглянути,1:percept:noncaus:2:physqual:vis:noncaus,
слухати,1:percept:noncaus:2:psych:want:noncaus,
почати,1:phase:2:begin:caus,
починати,1:phase:2:begin:caus,
продовжити,1:phase:2:effect:caus,
продовжувати,1:phase:2:effect:caus,
стати,1:phase:2:move_body:noncaus:3:loc:noncaus,
спати,1:physio:noncaus:2:act:noncaus:3:behave:noncaus,
їсти,1:physio:noncaus:2:impact:caus:3:effect:caus,
давати,1:poss:caus:2:appear:caus:3:psych:want:noncaus:4:phase,
дати,1:poss:caus:2:appear:caus:3:psych:want:noncaus:5:impact:caus,
надавати,1:poss:caus:2:effect:caus:3:vis:caus,:imperf
надати,1:poss:caus:2:effect:caus:3:vis:caus,
надавати,1:poss:caus:2:impact:caus,:perf
забирати,1:poss:caus:2:orient:noncaus,
забрати,1:poss:caus:2:orient:noncaus,
втратити,1:poss:noncaus,
втрачати,1:poss:noncaus,
мати,1:poss:noncaus,
отримати,1:poss:noncaus,
отримувати,1:poss:noncaus,
купити,1:poss:noncaus:2:act:noncaus,
купувати,1:poss:noncaus:2:act:noncaus,
передавати,1:poss:noncaus:2:caus:3:speech:noncaus:4:noncaus,
передати,1:poss:noncaus:2:caus:3:speech:noncaus:4:noncaus,
знайтися,1:poss:noncaus:2:ment:noncaus:3:ment:noncaus,
знайти,1:poss:noncaus:2:ment:noncaus:3:noncaus,
знаходити,1:poss:noncaus:2:ment:noncaus:3:noncaus,
належати,1:poss:noncaus:2:modal:noncaus:3:noncaus,:imperf
віддавати,1:poss:noncaus:2:noncaus,
віддати,1:poss:noncaus:2:noncaus,
боятися,1:psych:emot:noncaus,
побоятися,1:psych:emot:noncaus,
любити,1:psych:emot:noncaus:2:noncaus,
подобатися,1:psych:noncaus,
чекати,1:psych:noncaus:2:behave:noncaus,
відчувати,1:psych:noncaus:2:percept:noncaus,
відчути,1:psych:noncaus:2:percept:noncaus,
вирішити,1:psych:vol:noncaus:2:ment:noncaus,
вирішувати,1:psych:vol:noncaus:2:ment:noncaus,
дозволити,1:psych:want:noncaus,
дозволяти,1:psych:want:noncaus,
прагнути,1:psych:want:noncaus,
хотіти,1:psych:will:noncaus,
хтіти,1:psych:will:noncaus,
складати,1:put:caus:2:appear:caus:3:create:caus:4:act:caus,
скласти,1:put:caus:2:appear:caus:3:create:caus:4:act:caus,
ставити,1:put:caus:2:create:caus:3:ment:noncaus:4:noncaus,
класти,1:put:caus:2:disappear:caus:3:noncaus,
покласти,1:put:caus:2:disappear:caus:3:noncaus,
встановити,1:put:caus:2:ment:noncaus:3:create:caus,
встановлювати,1:put:caus:2:ment:noncaus:3:create:caus,
просити,1:speech:caus,
розповідати,1:speech:caus,
розповісти,1:speech:caus,
викликати,1:speech:caus:2:caus,:imperf
викликати,1:speech:caus:2:caus,:perf
назвати,1:speech:caus:2:speech:noncaus,
говорити,1:speech:noncaus,
дякувати,1:speech:noncaus,
запитати,1:speech:noncaus,
запитувати,1:speech:noncaus,
запропонувати,1:speech:noncaus,
заявити,1:speech:noncaus,
заявляти,1:speech:noncaus,
казати,1:speech:noncaus,
мовити,1:speech:noncaus,
повідомити,1:speech:noncaus,
повідомляти,1:speech:noncaus,
подякувати,1:speech:noncaus,
пропонувати,1:speech:noncaus,
сказати,1:speech:noncaus,
спитати,1:speech:noncaus,
вимагати,1:speech:noncaus:2:caus,
зазначати,1:speech:noncaus:2:create:noncaus,
зазначити,1:speech:noncaus:2:create:noncaus,:xp1
зазначити,1:speech:noncaus:2:create:noncaus,:xp2
стверджувати,1:speech:noncaus:2:effect:caus,
ствердити,1:speech:noncaus:2:effect:caus,
завважити,1:speech:noncaus:2:ment:noncaus,
завважувати,1:speech:noncaus:2:ment:noncaus,
зауважити,1:speech:noncaus:2:ment:noncaus,
зауважувати,1:speech:noncaus:2:ment:noncaus,
нагадати,1:speech:noncaus:2:ment:noncaus,
нагадувати,1:speech:noncaus:2:ment:noncaus,
пояснити,1:speech:noncaus:2:ment:noncaus,
пояснювати,1:speech:noncaus:2:ment:noncaus,
свідчити,1:speech:noncaus:2:ment:noncaus,
відмовитися,1:speech:noncaus:2:noncaus,
відмовлятися,1:speech:noncaus:2:noncaus,
відповідати,1:speech:noncaus:2:noncaus,
відповісти,1:speech:noncaus:2:noncaus,
звернутися,1:speech:noncaus:2:orient:noncaus:3:ment:noncaus,
звертатися,1:speech:noncaus:2:orient:noncaus:3:ment:noncaus,
називати,1:speech:noncaus:2:speech:caus,
використати,1:use:noncaus,
використовувати,1:use:noncaus,
виявитися,1:vis:noncaus:2:ment:noncaus:3:modal:noncaus,
виявлятися,1:vis:noncaus:2:ment:noncaus:3:modal:noncaus,
виявити,1:vis:noncaus:2:speech:noncaus:3:ment:noncaus,
виявляти,1:vis:noncaus:2:speech:noncaus:3:ment:noncaus,
