# потвір
# аналіза
# дук /n20.a
# погін /n21
# набір adv                                 # дуже рідке
# вишник /n20.a.p.<                          # :xp1 дама в картах (дуже рідко)
# добрами добро noun:p:v_oru
# комода
# плат /n20.a.p
# война /n10                                # переважно рос.
# стоїти /v1.cf :imperf                     # сто́їти
# где adv:pron:int:rel
благотворення /n2n
благоуханний /adj
благочинний /n2adj1.f.p.<                 # посада
благочинник /n20.a.p.<
благочинниця /n10.p1.<
благочинність /n30
благуватий /adj
благущий /adj
блакит /n20
блигий /adj
блигомий /adj
близнити /v1.cf :imperf
близнуватий /adj
бликавка /n10.p2
блиндар /n24.a.p.ke.<
блідний /adj \
 +cs=блідніший
блідниця /n10
блудилище /n2n.p1
блудячий /adj
блудящий /adj
бляск /n20
бовкало /n2n.p1
богадільний /adj
богадільня /n10.p2
богатий /adj
богато adv
богачка /n10.p2.<
богдай part
богів /adj
богобоящий /adj
боговгодний /adj
боголюбивий /adj
боготворення /n2n
богоугодний /adj.adv
богоугодність /n30
боднар /n24.a.p.ku.<
бодрий /adj
бож conj:subord
боз /n20                                # бузина
бозна-звідколи adv:pron:ind
бойний /adj
бокло /n2n
бокор /n20.a.p.ke
бокораш /n20.a.p.<
болещі /np2
болізний /adj.adv
больниця /n10.p1
боляк /n20.a.p
болярин /n20.a.pyn.<
бомага /n10.p1
бомбаковий /adj
бомбастичний /adj
бонна /n10.p1.<
борикатися /vr2.cf.advp :imperf
боронений /adj :adjp:pasv:imperf
бороття /n2n
босака adv
боска noninfl                           # матко боска!
босорканя /n10.p1.<
босоркун /n20.a.p.<
ботей /n20.p
боханець /n22.a.p
бохонець /n22.a.p
боцюн /n20.a.p.<>
боязько adv
боян /n20.a.<
бояринувати /v1.cf.advp :imperf
бояришня /n10.p2.<
боясть /n32
брагарник /n20.a.p.<
бран /n20
бранзолета /n10.p1
бранзолетка /n10.p2
бранний /adj
братаниця /n10.p1.ko.<
братанич /n20.a.p.<
братанка /n10.<
братове noun:p:nv:anim
братолюбивий /adj
братолюбивість /n30
братрура /n10
брацтво /n2n.p1
бре intj
брейцара /n10
бретер /n20.a.p.ke.<
бретерський /adj
брех /n20
бридак /n20.a.p.<
бридій /n20.a.p.<
бриндза /n10
бритийський /adj
бритійський /adj
брузумент /n20
бруковиця /n10
бублешниця /n10.p1.<
бублій /n20.a.p.<
будовання /n2n.p1
будовничий /n2adj1.<
будучий /adj
будучина /n10
будуччина /n10
будущина /n10.p1
бузівок /n22.a.p.<>
бузьковий /adj
бузьок /n22.a.p.<>
буйнощі /np2
булдимка /n10.p2
булий /adj
бунда /n10
бункр /n20.a.p.ke
бурдій /n20.a.p
бурта /n10.p1
бусурмен /n20.a.p.ke.<
бусурменка /n10.p2.ko.<
бусурменський /adj
бусько /n20.p.<>
буцигарня /n10.p2
буцик /n20.a.p
бюрко /n2n.p2
вагадло /n2n.p1
ваганки /np2
вагарня /n10.p2
вагом adv
ваготіння /n2n
ваготіти /v2.cf.advp :imperf              # також вагочу...
вагуватися /vr1.cf.advp :imperf
вадитися /vr1.cf.advp :imperf
важний /adj \
 +cs=важніший
